Trial,Week,Biobest,Colony,Size,Micro,Infected,Healthy,Dead,Alive,Yes/Surviving,Yes/Starting,Dead_Prop,%Dead,DeadInfected,
1,1,1,1a,15,1a15,0,9,0,15,0.000,0.0,0.0,0.0,0.0,Fecal Screening
1,2,1,1a,15,1a15,0,10,1,14,0.000,0.0,0.1,6.7,6.7,
1,3,1,1a,15,1a15,0,8,2,13,0.000,0.0,0.1,13.3,13.3,
1,1,1,1a,45,1a45,2,17,6,39,0.105,4.4,0.1,13.3,17.8,
1,2,1,1a,45,1a45,8,14,11,34,0.364,17.8,0.2,24.4,42.2,
1,3,1,1a,45,1a45,7,9,16,29,0.438,15.6,0.4,35.6,51.1,
1,1,3,3a,15,3a15,1,9,2,13,0.100,6.7,0.1,13.3,20.0,
1,2,3,3a,15,3a15,5,7,2,13,0.417,33.3,0.1,13.3,46.7,
1,3,3,3a,15,3a15,4,4,3,12,0.500,26.7,0.2,20.0,46.7,
1,1,3,3a,45,3a45,2,12,6,39,0.143,4.4,0.1,13.3,17.8,
1,2,3,3a,45,3a45,7,18,10,35,0.280,15.6,0.2,22.2,37.8,
1,3,3,3a,45,3a45,10,10,14,31,0.500,22.2,0.3,31.1,53.3,Dissections
2,1,3,3b,15,3b15,0,8,2,13,0.000,0.0,0.1,13.3,13.3,
2,2,3,3b,15,3b15,3,3,2,13,0.500,20.0,0.1,13.3,33.3,
2,3,3,3b,15,3b15,6,2,2,13,0.750,40.0,0.1,13.3,53.3,Dissections
2,1,3,3b,45,3b45,0,12,5,40,0.000,0.0,0.1,11.1,11.1,
2,2,3,3b,45,3b45,4,12,8,37,0.250,8.9,0.2,17.8,26.7,
2,3,3,3b,45,3b45,26,5,8,37,0.839,57.8,0.2,17.8,75.6,
1,1,4,4a,15,4a15,0,11,2,13,0.000,0.0,0.1,13.3,13.3,
1,2,4,4a,15,4a15,1,6,4,11,0.143,6.7,0.3,26.7,33.3,
1,3,4,4a,15,4a15,1,5,7,8,0.167,6.7,0.5,46.7,53.3,
1,1,4,4a,45,4a45,1,13,20,25,0.071,2.2,0.4,44.4,46.7,
1,2,4,4a,45,4a45,1,8,32,13,0.111,2.2,0.7,71.1,73.3,
1,3,4,4a,45,4a45,0,8,36,9,0.000,0.0,0.8,80.0,80.0,
2,1,4,4b,15,4b15,0,6,3,12,0.000,0.0,0.2,20.0,20.0,
2,2,4,4b,15,4b15,0,6,6,9,0.000,0.0,0.4,40.0,40.0,
2,3,4,4b,15,4b15,1,5,7,8,0.167,6.7,0.5,46.7,53.3,
2,1,4,4b,45,4b45,2,10,6,39,0.167,4.4,0.1,13.3,17.8,
2,2,4,4b,45,4b45,6,9,6,39,0.400,13.3,0.1,13.3,26.7,
2,3,4,4b,45,4b45,15,4,16,29,0.789,33.3,0.4,35.6,68.9,
1,1,5,5a,15,5a15,2,6,2,13,0.250,13.3,0.1,13.3,26.7,
1,2,5,5a,15,5a15,6,1,6,9,0.857,40.0,0.4,40.0,80.0,
1,3,5,5a,15,5a15,4,0,10,5,1.000,26.7,0.7,66.7,93.3,
1,1,5,5a,45,5a45,2,8,8,37,0.200,4.4,0.2,17.8,22.2,
1,2,5,5a,45,5a45,9,1,22,23,0.900,20.0,0.5,48.9,68.9,
1,3,5,5a,45,5a45,5,0,33,12,1.000,11.1,0.7,73.3,84.4,
2,1,5,5b,15,5b15,0,9,2,13,0.000,0.0,0.1,13.3,13.3,
2,2,5,5b,15,5b15,4,3,3,12,0.571,26.7,0.2,20.0,46.7,
2,3,5,5b,15,5b15,5,0,8,7,1.000,33.3,0.5,53.3,86.7,
2,1,5,5b,45,5b45,0,15,3,42,0.000,0.0,0.1,6.7,6.7,
2,2,5,5b,45,5b45,7,9,4,41,0.438,15.6,0.1,8.9,24.4,
2,3,5,5b,45,5b45,19,0,16,29,1.000,42.2,0.4,35.6,77.8,
1,1,6,6a,15,6a15,2,6,4,11,0.250,13.3,0.3,26.7,40.0,
1,2,6,6a,15,6a15,4,3,5,10,0.571,26.7,0.3,33.3,60.0,
1,3,6,6a,15,6a15,4,2,5,10,0.667,26.7,0.3,33.3,60.0,
1,1,6,6a,45,6a45,0,19,6,39,0.000,0.0,0.1,13.3,13.3,
1,2,6,6a,45,6a45,8,6,15,30,0.571,17.8,0.3,33.3,51.1,
1,3,6,6a,45,6a45,12,0,19,26,1.000,26.7,0.4,42.2,68.9,
2,1,6,6b,15,6b15,0,8,1,14,0.000,0.0,0.1,6.7,6.7,
2,2,6,6b,15,6b15,0,8,2,13,0.000,0.0,0.1,13.3,13.3,
2,3,6,6b,15,6b15,3,10,2,13,0.231,20.0,0.1,13.3,33.3,
2,1,6,6b,45,6b45,6,11,3,42,0.353,13.3,0.1,6.7,20.0,
2,2,6,6b,45,6b45,11,4,3,42,0.733,24.4,0.1,6.7,31.1,
2,3,6,6b,45,6b45,16,1,15,30,0.941,35.6,0.3,33.3,68.9,
3,1,7,7a,15,7a15,1,9,1,14,0.100,6.7,0.1,6.7,13.3,
3,1,7,7a,45,7a45,4,9,5,40,0.308,8.9,0.1,11.1,20.0,
3,1,8,8a,15,8a15,4,6,2,13,0.400,26.7,0.1,13.3,40.0,
3,1,8,8a,45,8a45,7,8,2,43,0.467,15.6,0.0,4.4,20.0,
3,2,7,7a,15,7a15,6,3,2,13,0.667,40.0,0.1,13.3,53.3,
3,2,7,7a,45,7a45,8,11,15,30,0.421,17.8,0.3,33.3,51.1,
3,2,8,8a,15,8a15,8,1,3,12,0.889,53.3,0.2,20.0,73.3,
3,2,8,8a,45,8a45,13,2,8,37,0.867,28.9,0.2,17.8,46.7,
3,3,7,7a,15,7a15,11,2,2,13,0.846,73.3,0.1,13.3,86.7,
3,3,7,7a,45,7a45,17,7,18,27,0.708,37.8,0.4,40.0,77.8,
3,3,8,8a,15,8a15,11,0,4,11,1.000,73.3,0.3,26.7,100.0,
3,3,8,8a,45,8a45,23,1,15,30,0.958,51.1,0.3,33.3,84.4,
4,1,7,7b,15,7b15,3,7,3,12,0.300,20.0,0.2,20.0,40.0,
4,1,7,7b,45,7b45,2,12,3,42,0.143,4.4,0.1,6.7,11.1,
4,1,8,8b,15,8b15,7,0,1,14,1.000,46.7,0.1,6.7,53.3,
4,1,8,8b,45,8b45,14,4,5,40,0.778,31.1,0.1,11.1,42.2,
4,2,7,7b,15,7b15,4,3,5,10,0.571,26.7,0.3,33.3,60.0,
4,2,7,7b,45,7b45,8,8,7,38,0.500,17.8,0.2,15.6,33.3,
4,2,8,8b,15,8b15,8,0,5,10,1.000,53.3,0.3,33.3,86.7,
4,2,8,8b,45,8b45,14,0,20,25,1.000,31.1,0.4,44.4,75.6,
4,3,7,7b,15,7b15,8,0,7,8,1.000,53.3,0.5,46.7,100.0,
4,3,7,7b,45,7b45,16,7,20,25,0.696,35.6,0.4,44.4,80.0,
4,3,8,8b,15,8b15,8,0,7,8,1.000,53.3,0.5,46.7,100.0,
4,3,8,8b,45,8b45,14,0,29,16,1.000,31.1,0.6,64.4,95.6,
5,1,7,7c,15,7c15,2,9,2,13,0.182,13.3,0.1,13.3,26.7,
5,1,7,7c,45,7c45,5,14,5,40,0.263,11.1,0.1,11.1,22.2,
5,1,8,8c,15,8c15,6,5,1,14,0.545,40.0,0.1,6.7,46.7,
5,1,8,8c,45,8c45,11,0,11,34,1.000,24.4,0.2,24.4,48.9,
5,2,7,7c,15,7c15,11,0,2,13,1.000,73.3,0.1,13.3,86.7,
5,2,7,7c,45,7c45,7,6,15,30,0.538,15.6,0.3,33.3,48.9,
5,2,8,8c,15,8c15,8,0,5,10,1.000,53.3,0.3,33.3,86.7,
5,2,8,8c,45,8c45,10,0,20,25,1.000,22.2,0.4,44.4,66.7,
5,3,7,7c,15,7c15,12,0,3,12,1.000,80.0,0.2,20.0,100.0,
5,3,7,7c,45,7c45,12,3,29,16,0.800,26.7,0.6,64.4,91.1,
5,3,8,8c,15,8c15,5,0,10,5,1.000,33.3,0.7,66.7,100.0,
5,3,8,8c,45,8c45,12,0,30,15,1.000,26.7,0.7,66.7,93.3,
6,1,9,9a,15,9a15,5,4,0,15,0.556,33.3,0.0,0.0,33.3,
6,1,9,9a,45,9a45,7,1,5,40,0.875,15.6,0.1,11.1,26.7,
6,1,10,10a,15,10a15,3,7,1,14,0.300,20.0,0.1,6.7,26.7,
6,1,10,10a,45,10a45,1,9,4,41,0.100,2.2,0.1,8.9,11.1,
6,2,9,9a,15,9a15,9,1,0,15,0.900,60.0,0.0,0.0,60.0,
6,2,9,9a,45,9a45,13,1,8,37,0.929,28.9,0.2,17.8,46.7,
6,2,10,10a,15,10a15,5,4,3,12,0.556,33.3,0.2,20.0,53.3,
6,2,10,10a,45,10a45,6,7,8,37,0.462,13.3,0.2,17.8,31.1,
6,3,9,9a,15,9a15,14,0,1,14,1.000,93.3,0.1,6.7,100.0,
6,3,9,9a,45,9a45,30,0,12,33,1.000,66.7,0.3,26.7,93.3,
6,3,10,10a,15,10a15,11,0,4,11,1.000,73.3,0.3,26.7,100.0,
6,3,10,10a,45,10a45,21,8,13,32,0.724,46.7,0.3,28.9,75.6,