Colony ,Biobest,Size,Inoculated,Paired,Crithidia_mean (including 0s),Crithidia_mean (no 0s),MarginalCell_mean,Nest_Weight,Log_Nest_Weight,Honey_Pots,Egg_Cells,Males,Log_Males,EggMale,Log_EggMale,,Notes
1a,1,15,Yes,1a15,0,0,2502.303077,18.5,1.267171728,11,19,1,0.301029996,20,1.301029996,,No infection
1a,1,45,Yes,1a45,25.875,59.14285714,2504.56875,20,1.301029996,15,4,0,0,4,0.602059991,,
3a,3,15,Yes,3a15,27.25,54.5,2412.7325,10.6,1.025305865,4,12,1,0.301029996,13,1.113943352,,
3a,3,45,Yes,3a45,9.7,21.44444444,2593.497,35.9,1.555094449,32,11,10,1.041392685,21,1.322219295,,
4a,4,15,Yes,4a15,23,61.33333333,2474.8725,11.4,1.056904851,8,1,1,0.301029996,2,0.301029996,,
4a,4,45,Yes,4a45,14.55555556,131,2516.107778,15.5,1.190331698,10,3,0,0,3,0.477121255,,
5a,5,15,Yes,5a15,79.4,79.4,2636.3225,15,1.176091259,10,5,0,0,5,0.698970004,,
5a,5,45,Yes,5a45,207.375,207.375,2801.84,33.6,1.526339277,14,11,0,0,11,1.041392685,,
6a,6,15,Yes,6a15,26.5,39.75,2778.9825,15.7,1.195899652,7,7,5,0.77815125,12,1.079181246,,
6a,6,45,Yes,6a45,30,30,2479.2975,20,1.301029996,27,11,2,0.477121255,13,1.113943352,,
1clean,1,15,No,1a15,,,,11.9,1.075546961,11,14,9,1,23,1.361727836,,removed 1clean n=45 because I forgot to take measurements for it
3b,3,15,Yes,3b15,36.91666667,44.3,2647.159167,15.5,1.190331698,6,32,2,0.477121255,34,1.531478917,,
3b,3,45,Yes,3b45,30.24324324,34.96875,2454.864595,36.4,1.561101384,38,53,15,1.204119983,68,1.832508913,,
4b,4,15,Yes,4b15,67.125,179,2390.32375,11.6,1.064457989,12,1,0,0,1,0,,
4b,4,45,Yes,4b45,29.21428571,34.08333333,2366.465714,31.5,1.498310554,20,1,0,0,1,0,,
5b,5,15,Yes,5b15,271.7142857,271.7142857,2692.264286,19,1.278753601,18,18,10,1.041392685,28,1.447158031,,
5b,5,45,Yes,5b45,79.92857143,79.92857143,2503.19,35.2,1.546542663,29,63,17,1.255272505,80,1.903089987,,
6b,6,15,Yes,6b15,39.15384615,169.6666667,2637.52875,12.2,1.086359831,13,19,8,0.954242509,27,1.431363764,,
6b,6,45,Yes,6b45,135.4285714,145.8461539,2666.004643,24.3,1.385606274,20,57,11,1.079181246,68,1.832508913,,
5clean,5,15,No,5b15,,,,29.2,1.465382851,28,24,17,1.255272505,41,1.612783857,,5clean n=45 died of starvation because feeder was not attached
3clean,3,15,No,3b15,,,,14.2,1.152288344,15,25,16,1.230448921,41,1.612783857,,
6clean,6,15,No,6b15,,,,31.8,1.50242712,26,46,31,1.505149978,77,1.886490725,,
6clean,6,45,No,6b45,,,,36.1,1.557507202,49,75,33,1.531478917,108,2.033423755,,
3clean,3,45,No,3b45,,,,62.2,1.793790385,75,53,44,1.653212514,97,1.986771734,,
7a,7,15,Yes,7a15,124.2307692,146.8181818,2747.692308,12.5,1.096910013,5,32,0,0,32,1.505149978,,
7a,7,15,No,7a15,,,,11.1,1.045322979,8,22,0,0,22,1.342422681,,
7a,7,45,Yes,7a45,48.41666667,68.35294118,2701.25,23.6,1.372912003,18,56,0,0,56,1.748188027,,
7a,7,45,No,7a45,,,,36.3,1.559906625,14,96,2,0.477121255,98,1.991226076,,
8a,8,15,Yes,8a15,166.0909091,166.0909091,2563.333333,19.1,1.281033367,3,58,0,0,58,1.763427994,,
8a,8,15,No,8a15,,,,18.4,1.264817823,2,57,1,0.301029996,58,1.763427994,,
8a,8,45,Yes,8a45,97.70833333,101.9565217,2594.166667,41.9,1.622214023,7,92,0,0,92,1.963787827,,
8a,8,45,No,8a45,,,,49.7,1.696356389,17,121,0,0,121,2.08278537,,
7b,7,15,Yes,7b15,171.75,171.75,2696.25,8.7,0.939519253,15,15,8,0.954242509,23,1.361727836,,
7b,7,15,No,7b15,,,,6.7,0.826074803,4,13,0,0,13,1.113943352,,
7b,7,45,Yes,7b45,131.1304348,188.5,2545.909091,23.2,1.365487985,23,20,7,0.903089987,27,1.431363764,,
7b,7,45,No,7b45,,,,16.8,1.225309282,14,23,9,1,32,1.505149978,,
8b,8,15,Yes,8b15,859.125,859.125,2480,11.8,1.071882007,7,34,4,0.698970004,38,1.579783597,,
8b,8,15,No,8b15,,,,13.2,1.120573931,8,25,0,0,25,1.397940009,,
8b,8,45,Yes,8b45,378.5,378.5,2445,27.5,1.439332694,8,75,4,0.698970004,79,1.897627091,,
8b,8,45,No,8b45,,,,23.8,1.376576957,18,70,7,0.903089987,77,1.886490725,,
7c,7,15,Yes,7c15,266.5833,266.5833,,19.3,1.285557309,21,25,4,0.698970004,29,1.462397998,,
7c,7,45,Yes,7c45,131.8667,164.833,,44,1.643452676,16,17,0,0,17,1.230448921,,
8c,8,15,Yes,8c15,301,301,,10.1,1.004321374,24,27,30,1.491361694,57,1.755874856,,
8c,8,45,Yes,8c45,211.42,211.42,,26,1.414973348,32,29,25,1.414973348,54,1.73239376,,
7c,7,15,No,7c15,,,,25.7,1.409933123,17,47,24,1.397940009,71,1.851258349,,
7c,7,45,No,7c45,,,,71.1,1.851869601,17,73,9,1,82,1.913813852,,
8c,8,15,No,8c15,,,,15.8,1.198657087,24,41,34,1.544068044,75,1.875061263,,
8c,8,45,No,8c45,,,,53.1,1.725094521,52,94,68,1.838849091,162,2.209515015,,
9a,9,15,Yes,9a15,,,,19,1.278753601,10,29,2,0.477121255,31,1.491361694,,
9a,9,45,Yes,9a45,,,,43.2,1.635483747,8,86,5,0.77815125,91,1.959041392,,
10a,10,15,Yes,10a15,,,,19.8,1.29666519,16,22,2,0.477121255,24,1.380211242,,
10a,10,45,Yes,10a45,,,,53.2,1.725911632,29,54,1,0.301029996,55,1.740362689,,
9a,9,15,No,9a15,,,,25.9,1.413299764,10,29,7,0.903089987,36,1.556302501,,
9a,9,45,No,9a45,,,,52.1,1.716837723,33,47,2,0.477121255,49,1.69019608,,
10a,10,15,No,10a15,,,,29.9,1.475671188,14,42,3,0.602059991,45,1.653212514,,
10a,10,45,No,10a45,,,,63.1,1.800029359,38,84,0,0,84,1.924279286,,